query_id,query_text,intent,entities,response_text
Q000011,Pants sales performance thank you,get_sales_summary,"{""product"": ""pants"", ""category"": ""jeans"", ""supplier"": ""DenimSource"", ""quantity"": 60, ""revenue"": 1318.42}","Jeans sales: 60 units, $1318.42 total."
Q000012,Show me suppliers for activewear,get_supplier_info,"{""product"": ""leggings"", ""category"": ""activewear"", ""color"": ""beige""}","Supplier info: our supplier, phone: (418) 610-1960."
Q000013,Delivery status for supplier order please,get_delivery_status,"{""product"": ""gown"", ""category"": ""dresses"", ""color"": ""purple"", ""delivery_date"": ""2025-11-08"", ""days_until_delivery"": 7}",Shipment status: gown arriving in 7 days.
Q000014,Expected delivery for hoodies?,get_delivery_status,"{""product"": ""hoodies"", ""category"": ""hoodies"", ""color"": ""white"", ""supplier"": ""StyleCraft"", ""delivery_date"": ""2025-11-21"", ""days_until_delivery"": 20}",Hoodies delivery status: 20 days out.
Q000015,List suppliers for jackets,get_supplier_info,"{""product"": ""coat"", ""category"": ""jackets"", ""color"": ""pink"", ""supplier"": ""StyleCraft""}",StyleCraft is our vendor for jackets.
Q000016,Knit sales performance can you,get_sales_summary,"{""product"": ""knit"", ""category"": ""sweaters"", ""quantity"": 288, ""revenue"": 1566.96}",Revenue from knit: $1566.96 with 288 units sold.
Q000017,Rain jacket availability could you,get_stock,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""supplier"": ""UrbanTex"", ""quantity"": 429}",Confirmed: 429 rain jacket in warehouse.
Q000018,Inventory status for hoodies could you,get_stock,"{""product"": ""hoodies"", ""category"": ""hoodies"", ""color"": ""olive"", ""size"": ""XL"", ""supplier"": ""UrbanTex"", ""quantity"": 465}",Stock level is at 465 for olive hoodies.
Q000019,Which supplier has jacket?,get_supplier_info,"{""product"": ""jacket"", ""category"": ""jackets""}",We source jackets from our supplier.
Q000020,Who supplies our gown?,get_supplier_info,"{""product"": ""gown"", ""category"": ""dresses"", ""color"": ""yellow"", ""supplier"": ""ThreadLine""}",ThreadLine supplies yellow gown.
Q000021,Expected delivery for sweater?,get_delivery_status,"{""product"": ""sweater"", ""category"": ""sweaters"", ""color"": ""navy"", ""size"": ""28"", ""supplier"": ""GarmentCo"", ""delivery_date"": ""2025-11-15"", ""days_until_delivery"": 14}",Shipment status: sweater arriving in 14 days.
Q000022,Most popular sports bra,get_best_seller,"{""product"": ""sports bra"", ""category"": ""activewear"", ""size"": ""extra large""}","Best performer: sports bra, 351 units moved."
Q000023,"Hi, create a purchase order for windbreaker",create_reorder,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""color"": ""green"", ""quantity"": 496}",Order #PO790855: 496 green windbreaker from our supplier.
Q000024,Where do we get t-shirt?,get_supplier_info,"{""product"": ""t-shirt"", ""category"": ""t-shirts"", ""color"": ""green""}","We get t-shirt from our supplier, our warehouse."
Q000025,Which pullover is selling best?,get_best_seller,"{""product"": ""pullover"", ""category"": ""hoodies"", ""color"": ""yellow""}",Pullover is flying off shelves - 474 sold.
Q000026,Most popular dress thanks,get_best_seller,"{""product"": ""dress"", ""category"": ""dresses"", ""supplier"": ""ThreadLine""}",Most popular item: dress with 146 sales.
Q000027,Best performing hoodies thanks,get_best_seller,"{""product"": ""hoodies"", ""category"": ""hoodies"", ""color"": ""navy""}",Navy hoodies is trending with 174 sales.
Q000028,Mini skirt stock count could you,get_stock,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""color"": ""purple"", ""quantity"": 144}","Yes, 144 mini skirt in stock right now."
Q000029,Skirt sales performance please,get_sales_summary,"{""product"": ""skirt"", ""category"": ""skirts"", ""color"": ""navy"", ""size"": ""36"", ""supplier"": ""ApparelPro"", ""quantity"": 113, ""revenue"": 2328.03}","Sales breakdown: 113 navy skirt, $2328.03 revenue."
Q000030,Supplier info for denim can you,get_supplier_info,"{""product"": ""denim"", ""category"": ""jeans"", ""color"": ""white""}",Our supplier carries white denim.
Q000031,How much shorts stock do we have?,get_stock,"{""product"": ""shorts"", ""category"": ""shorts"", ""quantity"": 88}",Inventory status: 88 units available.
Q000032,Restock yellow parka please,create_reorder,"{""product"": ""parka"", ""category"": ""outerwear"", ""color"": ""yellow"", ""size"": ""L"", ""quantity"": 26}",Order #PO793655: 26 yellow parka from our supplier.
Q000033,Show sales data for shorts,get_sales_summary,"{""product"": ""bermuda"", ""category"": ""shorts"", ""quantity"": 143, ""revenue"": 3117.97}","Sales breakdown: 143 bermuda, $3117.97 revenue."
Q000034,Which pink coat is most popular?,get_best_seller,"{""product"": ""coat"", ""category"": ""jackets"", ""color"": ""pink"", ""size"": ""XS"", ""supplier"": ""DenimSource""}","Top seller: pink coat, 186 sold this month."
Q000035,", we need more purple blazer",create_reorder,"{""product"": ""blazer"", ""category"": ""jackets"", ""color"": ""purple"", ""quantity"": 212}",Purchase order #PO796212 created for 212 blazer.
Q000036,Supplier list for sweaters thanks,get_supplier_info,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""color"": ""white"", ""supplier"": ""GarmentCo""}",GarmentCo is our vendor for sweaters.
Q000037,Quick check on beige tees stock,get_stock,"{""product"": ""tees"", ""category"": ""t-shirts"", ""color"": ""beige"", ""size"": ""S"", ""quantity"": 362}",Stock count for beige tees is 362.
Q000038,Got any dress?,get_stock,"{""product"": ""dress"", ""category"": ""dresses"", ""supplier"": ""UrbanTex"", ""quantity"": 48}",We're showing 48 units of dress in the system.
Q000039,Show me what's popular in skirts,get_best_seller,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""color"": ""black""}","Top seller: black mini skirt, 111 sold this month."
Q000040,Give me sales numbers for cap,get_sales_summary,"{""product"": ""cap"", ""category"": ""accessories"", ""color"": ""red"", ""size"": ""extra large"", ""quantity"": 356, ""revenue"": 1243.78}",Cap is performing well with 356 units sold.
Q000041,Quick check on jeans stock,get_stock,"{""product"": ""jeans"", ""category"": ""jeans"", ""quantity"": 229}",Stock count for jeans is 229.
Q000042,Show supplier options for hat,get_supplier_info,"{""product"": ""hat"", ""category"": ""accessories"", ""color"": ""red""}",Our accessories supplier is our supplier.
Q000043,How much cap stock do we have?,get_stock,"{""product"": ""cap"", ""category"": ""accessories"", ""supplier"": ""DenimSource"", ""quantity"": 169}","Yes, 169 cap in stock right now."
Q000044,Can you tell me how many cardigan we have ?,get_stock,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""color"": ""yellow"", ""quantity"": 341}",Stock level is at 341 for yellow cardigan.
Q000045,Knit availability thank you,get_stock,"{""product"": ""knit"", ""category"": ""sweaters"", ""color"": ""gray"", ""quantity"": 368}",Current inventory shows 368 gray knit available.
Q000046,Expected delivery for knit?,get_delivery_status,"{""product"": ""knit"", ""category"": ""sweaters"", ""supplier"": ""FashionHub"", ""delivery_date"": ""2025-11-21"", ""days_until_delivery"": 20}",Knit delivery status: 20 days out.
Q000047,Need to know stock for pink knit,get_stock,"{""product"": ""knit"", ""category"": ""sweaters"", ""color"": ""pink"", ""supplier"": ""GarmentCo"", ""quantity"": 175}",We're showing 175 units of knit in the system.
Q000048,Any sundress in the warehouse?,get_stock,"{""product"": ""sundress"", ""category"": ""dresses"", ""size"": ""XL"", ""supplier"": ""UrbanTex"", ""quantity"": 450}","Yes, 450 sundress in stock right now."
Q000049,Give me sales numbers for cardigan,get_sales_summary,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""size"": ""M"", ""quantity"": 444, ""revenue"": 2714.75}",Cardigan is performing well with 444 units sold.
Q000050,"Hi, supplier for skirt could you",get_supplier_info,"{""product"": ""skirt"", ""category"": ""skirts"", ""supplier"": ""FabricWorks""}",We source skirt from FabricWorks in our warehouse.
Q000051,Order 123 units of tee,create_reorder,"{""product"": ""tee"", ""category"": ""t-shirts"", ""color"": ""brown"", ""quantity"": 123}",Reorder confirmed for brown tee.
Q000052,What are today's sales for bermuda?,get_sales_summary,"{""product"": ""bermuda"", ""category"": ""shorts"", ""supplier"": ""ApparelPro"", ""quantity"": 441, ""revenue"": 2467.72}","Sales breakdown: 441 bermuda, $2467.72 revenue."
Q000053,Can you tell me how many rain jacket we have can you?,get_stock,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""quantity"": 467}",There are 467 rain jacket left in stock.
Q000054,What's our rain jacket count looking like?,get_stock,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""color"": ""yellow"", ""quantity"": 51}",We're stocked with 51 yellow rain jacket.
Q000055,What's left in gown?,get_stock,"{""product"": ""gown"", ""category"": ""dresses"", ""size"": ""L"", ""supplier"": ""StyleCraft"", ""quantity"": 445}",Confirmed: 445 gown in warehouse.
Q000056,Order 322 units of windbreaker,create_reorder,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""color"": ""olive"", ""supplier"": ""ThreadLine"", ""quantity"": 322}",Reorder confirmed for olive windbreaker.
Q000057,Quick check on denim stock,get_stock,"{""product"": ""denim"", ""category"": ""jeans"", ""size"": ""medium"", ""quantity"": 194}",Current stock: 194 denim.
Q000058,Need to replenish coat stock,create_reorder,"{""product"": ""coat"", ""category"": ""jackets"", ""color"": ""red"", ""supplier"": ""DenimSource"", ""quantity"": 335}",Reorder confirmed for red coat.
Q000059,Get me supplier contact info,get_supplier_info,"{""product"": ""jacket"", ""category"": ""jackets"", ""size"": ""small""}",Our supplier is our vendor for jackets.
Q000060,Best performing t-shirt could you,get_best_seller,"{""product"": ""t-shirt"", ""category"": ""t-shirts"", ""color"": ""yellow"", ""size"": ""28"", ""supplier"": ""ApparelPro""}","Top seller: yellow t-shirt, 274 sold this month."
Q000061,Can you tell me how many rain jacket we have thanks?,get_stock,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""color"": ""pink"", ""supplier"": ""FashionHub"", ""quantity"": 223}",Stock level for pink rain jacket: 223 units.
Q000062,Add socks to next order thank you,create_reorder,"{""product"": ""socks"", ""category"": ""accessories"", ""size"": ""extra large"", ""supplier"": ""ModaSupply"", ""quantity"": 411}",Reorder request processed for socks.
Q000063,Where do we get bermuda?,get_supplier_info,"{""product"": ""bermuda"", ""category"": ""shorts"", ""color"": ""gray"", ""size"": ""XL""}",Our shorts supplier is our supplier.
Q000064,Check inventory for bermuda please,get_stock,"{""product"": ""bermuda"", ""category"": ""shorts"", ""quantity"": 185}",Inventory check complete: 185 bermuda available.
Q000065,Scarf supplier contact please,get_supplier_info,"{""product"": ""scarf"", ""category"": ""accessories""}","Scarf supplier: our supplier, located in our warehouse."
Q000066,Do we have purple shirt in ?,get_stock,"{""product"": ""shirt"", ""category"": ""t-shirts"", ""color"": ""purple"", ""supplier"": ""GarmentCo"", ""quantity"": 237}",Stock level for purple shirt: 237 units.
Q000067,Can you tell me how many sundress we have thanks?,get_stock,"{""product"": ""sundress"", ""category"": ""dresses"", ""color"": ""brown"", ""supplier"": ""GarmentCo"", ""quantity"": 61}",We have 61 units of brown sundress in stock.
Q000068,When's the next tees shipment coming?,get_delivery_status,"{""product"": ""tees"", ""category"": ""t-shirts"", ""color"": ""white"", ""size"": ""34"", ""supplier"": ""TextilePlus"", ""delivery_date"": ""2025-11-13"", ""days_until_delivery"": 12}",ETA for white tees: 12 days.
Q000069,"Yo, sales stats for mini skirt can you",get_sales_summary,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""color"": ""navy"", ""size"": ""28"", ""supplier"": ""ModaSupply"", ""quantity"": 358, ""revenue"": 4606.87}",We sold 358 mini skirt this week generating $4606.87.
Q000070,Shorts stock count pls,get_stock,"{""product"": ""shorts"", ""category"": ""shorts"", ""color"": ""pink"", ""size"": ""small"", ""quantity"": 377}",Current stock: 377 shorts.
Q000071,Shipment tracking for windbreaker thanks,get_delivery_status,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""color"": ""brown"", ""supplier"": ""ModaSupply"", ""delivery_date"": ""2025-11-12"", ""days_until_delivery"": 11}",Delivery expected in 11 days for brown windbreaker.
Q000072,Show sales data for sweaters,get_sales_summary,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""color"": ""black"", ""size"": ""extra large"", ""supplier"": ""StyleCraft"", ""quantity"": 264, ""revenue"": 1983.96}",Sales figures: 264 cardigan at $1983.96 revenue.
Q000073,What did shorts do in sales last week?,get_sales_summary,"{""product"": ""shorts"", ""category"": ""shorts"", ""color"": ""blue"", ""size"": ""36"", ""quantity"": 317, ""revenue"": 877.86}","Today's sales for shorts: 317 units, $877.86 revenue."
Q000074,How many athletic wear are left in stock?,get_stock,"{""product"": ""athletic wear"", ""category"": ""activewear"", ""color"": ""purple"", ""quantity"": 81}",Current stock: 81 athletic wear.
Q000075,"Hi, we need more windbreaker",create_reorder,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""quantity"": 355}",Order confirmed: 355 windbreaker from our supplier.
Q000076,Status update on dress shipment pls,get_delivery_status,"{""product"": ""dress"", ""category"": ""dresses"", ""color"": ""blue"", ""size"": ""extra large"", ""delivery_date"": ""2025-11-18"", ""days_until_delivery"": 17}",Dress shipment is on schedule for 2025-11-18 delivery.
Q000077,What's hot right now?,get_best_seller,"{""product"": ""scarf"", ""category"": ""accessories"", ""size"": ""30""}","Top mover: scarf, 317 units."
Q000078,Mini skirt supplier contact thank you,get_supplier_info,"{""product"": ""mini skirt"", ""category"": ""skirts""}",Our supplier supplies mini skirt.
Q000079,Best seller report,get_best_seller,"{""product"": ""shirt"", ""category"": ""t-shirts"", ""color"": ""charcoal"", ""size"": ""36""}",Our best selling t-shirts is charcoal shirt with 217 units sold.
Q000080,Get me FabricWorks contact info,get_supplier_info,"{""product"": ""shorts"", ""category"": ""shorts"", ""color"": ""gray"", ""supplier"": ""FabricWorks""}","Supplier: FabricWorks, email: john.smith@fabricworks.com."
Q000081,Where do we get coat?,get_supplier_info,"{""product"": ""coat"", ""category"": ""jackets"", ""color"": ""red""}",Our supplier is our vendor for jackets.
Q000082,What's moving in accessories?,get_sales_summary,"{""product"": ""cap"", ""category"": ""accessories"", ""color"": ""pink"", ""size"": ""30"", ""supplier"": ""GarmentCo"", ""quantity"": 407, ""revenue"": 4942.82}",Revenue from pink cap: $4942.82 with 407 units sold.
Q000083,Show supplier options for shorts,get_supplier_info,"{""product"": ""shorts"", ""category"": ""shorts""}","We get shorts from our supplier, our warehouse."
Q000084,Dress supplier contact thanks,get_supplier_info,"{""product"": ""dress"", ""category"": ""dresses"", ""color"": ""black""}",We order black dress from our supplier.
Q000085,What's the stock level for bermuda?,get_stock,"{""product"": ""bermuda"", ""category"": ""shorts"", ""quantity"": 100}",We're showing 100 units of bermuda in the system.
Q000086,What's the stock level for hoodie?,get_stock,"{""product"": ""hoodie"", ""category"": ""hoodies"", ""color"": ""gray"", ""size"": ""34"", ""supplier"": ""FashionHub"", ""quantity"": 26}",We have 26 34 gray hoodie ready to ship.
Q000087,What's moving in outerwear?,get_sales_summary,"{""product"": ""parka"", ""category"": ""outerwear"", ""size"": ""36"", ""supplier"": ""StyleCraft"", ""quantity"": 190, ""revenue"": 1975.99}","Outerwear sales: 190 units, $1975.99 total."
Q000088,What are the numbers on bermuda?,get_sales_summary,"{""product"": ""bermuda"", ""category"": ""shorts"", ""color"": ""white"", ""size"": ""XXL"", ""supplier"": ""TextilePlus"", ""quantity"": 65, ""revenue"": 1382.71}",Bermuda sales: 65 units moved this month.
Q000089,Inventory status for shirt pls,get_stock,"{""product"": ""shirt"", ""category"": ""t-shirts"", ""quantity"": 346}",Confirmed: 346 shirt in warehouse.
Q000090,Where do we get coat?,get_supplier_info,"{""product"": ""coat"", ""category"": ""jackets"", ""color"": ""beige"", ""supplier"": ""GarmentCo""}",We order beige coat from GarmentCo.
Q000091,How are sports bra selling?,get_sales_summary,"{""product"": ""sports bra"", ""category"": ""activewear"", ""color"": ""olive"", ""quantity"": 226, ""revenue"": 2564.03}","Sales summary: 226 sports bra sold, total revenue $2564.03."
Q000092,When's the next delivery from ApparelPro?,get_delivery_status,"{""product"": ""sports bra"", ""category"": ""activewear"", ""size"": ""large"", ""supplier"": ""ApparelPro"", ""delivery_date"": ""2025-11-07"", ""days_until_delivery"": 6}",Next sports bra shipment arrives in 6 days from ApparelPro.
Q000093,Delivery ETA for UrbanTex pls,get_delivery_status,"{""product"": ""hat"", ""category"": ""accessories"", ""supplier"": ""UrbanTex"", ""delivery_date"": ""2025-11-11"", ""days_until_delivery"": 10}",Delivery ETA: 10 days for hat order.
Q000094,"Yo, what's the revenue from gown sales?",get_sales_summary,"{""product"": ""gown"", ""category"": ""dresses"", ""color"": ""brown"", ""size"": ""28"", ""quantity"": 209, ""revenue"": 740.75}",Revenue from brown gown: $740.75 with 209 units sold.
Q000095,Quick check on cardigan stock,get_stock,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""quantity"": 421}",Confirmed: 421 cardigan in warehouse.
Q000096,Pullover sales performance thanks,get_sales_summary,"{""product"": ""pullover"", ""category"": ""hoodies"", ""color"": ""red"", ""size"": ""30"", ""supplier"": ""ApparelPro"", ""quantity"": 456, ""revenue"": 4229.96}","Total sales for hoodies: 456 items, $4229.96."
Q000097,Inventory status for pants,get_stock,"{""product"": ""pants"", ""category"": ""jeans"", ""color"": ""grey"", ""supplier"": ""GarmentCo"", ""quantity"": 286}",Stock level is at 286 for grey pants.
Q000098,Socks stock count could you,get_stock,"{""product"": ""socks"", ""category"": ""accessories"", ""color"": ""black"", ""size"": ""XL"", ""quantity"": 270}",We're showing 270 units of socks in the system.
Q000099,Do we have athletic wear in XS?,get_stock,"{""product"": ""athletic wear"", ""category"": ""activewear"", ""size"": ""XS"", ""supplier"": ""StyleCraft"", ""quantity"": 303}",Current stock: 303 athletic wear.
Q000100,Reorder cap can you,create_reorder,"{""product"": ""cap"", ""category"": ""accessories"", ""color"": ""pink"", ""size"": ""L"", ""supplier"": ""FashionHub"", ""quantity"": 82}",Order placed with FashionHub for 82 cap.
Q000101,How's mini skirt performing?,get_sales_summary,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""quantity"": 351, ""revenue"": 3882.75}",Revenue from mini skirt: $3882.75 with 351 units sold.
Q000102,Do we still have 30 blazer?,get_stock,"{""product"": ""blazer"", ""category"": ""jackets"", ""size"": ""30"", ""quantity"": 374}",We have 374 units of blazer in stock.
Q000103,Where's the windbreaker shipment?,get_delivery_status,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""size"": ""large"", ""delivery_date"": ""2025-11-20"", ""days_until_delivery"": 19}",Next delivery from our supplier: 2025-11-20.
Q000104,Give me the sales figures for dresses,get_sales_summary,"{""product"": ""dress"", ""category"": ""dresses"", ""size"": ""XXL"", ""supplier"": ""FashionHub"", ""quantity"": 107, ""revenue"": 3803.96}",Dress sales: 107 units moved this month.
Q000105,"Hi, sales stats for t-shirt thanks",get_sales_summary,"{""product"": ""t-shirt"", ""category"": ""t-shirts"", ""size"": ""38"", ""supplier"": ""ApparelPro"", ""quantity"": 9, ""revenue"": 1562.12}","T-shirts sales: 9 units, $1562.12 total."
Q000106,What's the stock level for sweatshirt?,get_stock,"{""product"": ""sweatshirt"", ""category"": ""hoodies"", ""color"": ""green"", ""quantity"": 409}",We're showing 409 units of sweatshirt in the system.
Q000107,Delivery status for ApparelPro order thanks,get_delivery_status,"{""product"": ""gown"", ""category"": ""dresses"", ""size"": ""32"", ""supplier"": ""ApparelPro"", ""delivery_date"": ""2025-11-20"", ""days_until_delivery"": 19}",Next delivery from ApparelPro: 2025-11-20.
Q000108,How many rain jacket are left in stock?,get_stock,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""quantity"": 332}",Stock count for rain jacket is 332.
Q000109,"Hey there, who do we order sundress from?",get_supplier_info,"{""product"": ""sundress"", ""category"": ""dresses""}","Sundress supplier: our supplier, located in our warehouse."
Q000110,Best movers in activewear,get_best_seller,"{""product"": ""yoga pants"", ""category"": ""activewear"", ""color"": ""blue"", ""size"": ""36"", ""supplier"": ""ThreadLine""}",Best seller report: yoga pants leads with 255 units.
Q000111,How much revenue from gray knit?,get_sales_summary,"{""product"": ""knit"", ""category"": ""sweaters"", ""color"": ""gray"", ""quantity"": 28, ""revenue"": 2176.12}",Sales data shows 28 knit sold for $2176.12.
Q000112,Restock charcoal windbreaker could you,create_reorder,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""color"": ""charcoal"", ""size"": ""32"", ""supplier"": ""GarmentCo"", ""quantity"": 65}",Order confirmed: 65 charcoal windbreaker from GarmentCo.
Q000113,Revenue report for jackets,get_sales_summary,"{""product"": ""jacket"", ""category"": ""jackets"", ""color"": ""blue"", ""size"": ""L"", ""supplier"": ""TextilePlus"", ""quantity"": 484, ""revenue"": 4430.41}",Sales figures: 484 jacket at $4430.41 revenue.
Q000114,Which company supplies mini skirt?,get_supplier_info,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""color"": ""red""}","Supplier for mini skirt: our supplier, contact: Mike Davis."
Q000115,How much scarf stock do we have?,get_stock,"{""product"": ""scarf"", ""category"": ""accessories"", ""supplier"": ""DenimSource"", ""quantity"": 348}",Stock level for scarf: 348 units.
Q000116,Which knit is selling best?,get_best_seller,"{""product"": ""knit"", ""category"": ""sweaters"", ""color"": ""green""}","Leading seller: knit, 290 units this month."
Q000117,Show supplier options for jacket,get_supplier_info,"{""product"": ""jacket"", ""category"": ""jackets"", ""color"": ""pink"", ""supplier"": ""StyleCraft""}","Jacket supplier: StyleCraft, located in Houston."
Q000118,Best movers in activewear,get_best_seller,"{""product"": ""sports bra"", ""category"": ""activewear"", ""size"": ""30"", ""supplier"": ""DenimSource""}",Our best selling activewear is sports bra with 259 units sold.
Q000119,Quick check on knit stock,get_stock,"{""product"": ""knit"", ""category"": ""sweaters"", ""supplier"": ""FabricWorks"", ""quantity"": 199}",Stock count for knit is 199.
Q000120,What's the stock level for athletic wear?,get_stock,"{""product"": ""athletic wear"", ""category"": ""activewear"", ""color"": ""charcoal"", ""quantity"": 434}",Inventory status: 434 units available.
Q000121,Shorts sales performance could you,get_sales_summary,"{""product"": ""shorts"", ""category"": ""shorts"", ""quantity"": 254, ""revenue"": 177.09}",We moved 254 shorts yesterday.
Q000122,List suppliers for outerwear,get_supplier_info,"{""product"": ""windbreaker"", ""category"": ""outerwear"", ""supplier"": ""StyleCraft""}","Supplier info: StyleCraft, phone: (473) 606-2294."
Q000123,Quick check on parka stock,get_stock,"{""product"": ""parka"", ""category"": ""outerwear"", ""quantity"": 198}","Yes, 198 parka in stock right now."
Q000124,Check delivery status please,get_delivery_status,"{""product"": ""hoodie"", ""category"": ""hoodies"", ""color"": ""charcoal"", ""delivery_date"": ""2025-11-10"", ""days_until_delivery"": 9}",Shipment status: hoodie arriving in 9 days.
Q000125,Show me scarf inventory,get_stock,"{""product"": ""scarf"", ""category"": ""accessories"", ""color"": ""olive"", ""size"": ""28"", ""supplier"": ""FabricWorks"", ""quantity"": 357}","Yes, 357 scarf in stock right now."
Q000126,"Hey there, who do we order cap from?",get_supplier_info,"{""product"": ""cap"", ""category"": ""accessories"", ""size"": ""large""}",Our supplier is the vendor for cap.
Q000127,Check inventory for navy hoodie thank you,get_stock,"{""product"": ""hoodie"", ""category"": ""hoodies"", ""color"": ""navy"", ""quantity"": 167}",Stock level for navy hoodie: 167 units.
Q000128,Give me the sales figures for activewear,get_sales_summary,"{""product"": ""athletic wear"", ""category"": ""activewear"", ""color"": ""white"", ""size"": ""M"", ""quantity"": 447, ""revenue"": 1987.67}",We moved 447 athletic wear yesterday.
Q000129,Cardigan availability please,get_stock,"{""product"": ""cardigan"", ""category"": ""sweaters"", ""color"": ""white"", ""size"": ""large"", ""supplier"": ""FashionHub"", ""quantity"": 189}",Current inventory shows 189 white cardigan available.
Q000130,Shipment tracking for bermuda could you,get_delivery_status,"{""product"": ""bermuda"", ""category"": ""shorts"", ""size"": ""28"", ""supplier"": ""ModaSupply"", ""delivery_date"": ""2025-11-08"", ""days_until_delivery"": 7}","Bermuda order is in transit, ETA 7 days."
Q000131,Bermuda supplier contact,get_supplier_info,"{""product"": ""bermuda"", ""category"": ""shorts"", ""color"": ""yellow"", ""size"": ""L""}",We source shorts from our supplier.
Q000132,Show me what's popular in skirts,get_best_seller,"{""product"": ""mini skirt"", ""category"": ""skirts"", ""color"": ""gray"", ""size"": ""XL""}",Our best selling skirts is gray mini skirt with 42 units sold.
Q000133,Get supplier details for rain jacket,get_supplier_info,"{""product"": ""rain jacket"", ""category"": ""outerwear"", ""color"": ""pink""}","Supplier for rain jacket: our supplier, contact: Lisa Brown."
Q000134,"Hello, sales stats for sundress please",get_sales_summary,"{""product"": ""sundress"", ""category"": ""dresses"", ""color"": ""beige"", ""size"": ""XS"", ""supplier"": ""ApparelPro"", ""quantity"": 497, ""revenue"": 520.69}","Dresses sales: 497 units, $520.69 total."
Q000135,How's gown performing?,get_sales_summary,"{""product"": ""gown"", ""category"": ""dresses"", ""color"": ""black"", ""supplier"": ""DenimSource"", ""quantity"": 351, ""revenue"": 4020.25}",Sales data shows 351 gown sold for $4020.25.
Q000136,Give me the sales figures for t-shirts,get_sales_summary,"{""product"": ""tee"", ""category"": ""t-shirts"", ""supplier"": ""ModaSupply"", ""quantity"": 235, ""revenue"": 3001.8}",We sold 235 tee this week generating $3001.8.
Q000137,Do we still have olive dress?,get_stock,"{""product"": ""dress"", ""category"": ""dresses"", ""color"": ""olive"", ""quantity"": 203}",We're stocked with 203 olive dress.
Q000138,What's our hoodies count looking like?,get_stock,"{""product"": ""hoodies"", ""category"": ""hoodies"", ""color"": ""blue"", ""size"": ""XL"", ""quantity"": 75}",Stock level for blue hoodies: 75 units.
Q000139,Quick check on grey sundress stock,get_stock,"{""product"": ""sundress"", ""category"": ""dresses"", ""color"": ""grey"", ""supplier"": ""ThreadLine"", ""quantity"": 498}",Stock level for grey sundress: 498 units.
