supplier_id,supplier_name,contact_name,contact_email,phone_number,address,city,state,product_categories_supplied,purchase_order_id,order_date,delivery_date,status,total_cost,payment_status
SUP00086,RetailFabrics Solutions,Matthew Robinson,matthew.robinson@retailfabricsso.com,(529) 393-4912,9468 Supply Chain Ave,Charlotte,NC,"Jeans, Shorts, Sweaters",PO0000025,2024-09-10,2024-09-10,Cancelled,1693.89,Partial
SUP00084,FashionHub Group,Emily Martinez,emily.martinez@fashionhubgroup.com,(592) 395-9327,2336 Maple Dr,Seattle,WA,"Dresses, Shorts, Sweaters",PO0000026,2024-05-29,2024-06-27,Delivered,1286.72,Paid
SUP00112,GarmentCo Partners,Kevin Nguyen,kevin.nguyen@garmentcopartne.com,(761) 929-6327,6340 Fourth St,Atlanta,GA,Dresses,PO0000027,2024-04-26,2024-05-01,Delivered,291.4,Paid
SUP00031,GlobalGarments LLC,Jeffrey Brown,jeffrey.brown@globalgarmentsl.com,(294) 849-7939,4633 Oak Ave,Los Angeles,CA,"Accessories, T-Shirts",PO0000028,2024-01-07,2024-01-21,Delivered,720.86,Pending
SUP00081,WholesaleWear Partners,Ronald Young,ronald.young@wholesalewearpa.com,(840) 652-1845,3435 Business Park Rd,Oakland,CA,Jackets,PO0000029,2024-04-05,2024-04-11,Delivered,1113.27,Paid
SUP00145,TrendyTextiles Supply Co.,Lisa Anderson,lisa.anderson@trendytextiless.com,(228) 526-2623,5593 Park Blvd,San Diego,CA,Skirts,PO0000030,2024-07-24,2024-08-03,Shipped,429.52,Pending
SUP00090,UrbanWear Industries,Ronald Young,ronald.young@urbanwearindust.com,(754) 236-2121,3946 Trade Center Blvd,Charlotte,NC,"Accessories, Hoodies, Shorts",PO0000031,2024-01-05,2024-01-15,Pending,526.86,Pending
SUP00085,GarmentCo Apparel,James Jackson,james.jackson@garmentcoappare.com,(943) 505-9022,2534 Market St,Miami,FL,"Dresses, Sweaters",PO0000032,2024-08-25,2024-08-30,Delivered,561.42,Partial
SUP00054,FabricWorks Imports,Margaret Rodriguez,margaret.rodriguez@fabricworksimpo.com,(672) 386-1823,4362 Supply Chain Ave,El Paso,TX,Sweaters,PO0000033,2024-08-16,2024-08-18,Pending,2364.32,Paid
SUP00091,ModaSupply Wholesale,George Martin,george.martin@modasupplywhole.com,(229) 247-6314,1019 Trade Center Blvd,Detroit,MI,"Shirts, T-Shirts",PO0000034,2024-08-23,2024-09-01,Delivered,1587.61,Paid
SUP00097,VogueSupply Inc.,Michelle Taylor,michelle.taylor@voguesupplyinc.com,(894) 973-3240,1691 Oak Ave,Boston,MA,"Activewear, Jeans, Sweaters",PO0000035,2024-07-13,2024-07-13,Cancelled,4678.47,Pending
SUP00119,GarmentHub Trading,Daniel Smith,daniel.smith@garmenthubtradi.com,(385) 346-7566,1240 Park Blvd,New York,NY,Dresses,PO0000036,2024-10-17,2024-10-30,Pending,833.55,Paid
SUP00074,UrbanWear Apparel,Sandra Jones,sandra.jones@urbanwearappare.com,(903) 439-5334,9763 Industrial Way,Baltimore,MD,Shirts,PO0000037,2024-07-06,2024-07-21,Delivered,470.24,Paid
SUP00107,TextilePlus Partners,Susan Evans,susan.evans@textilepluspart.com,(438) 536-3417,9864 Main St,Seattle,WA,"Dresses, Outerwear, T-Shirts",PO0000038,2024-04-26,2024-05-09,Shipped,148.64,Pending
SUP00043,FashionForward Industries,Timothy Mitchell,timothy.mitchell@fashionforwardi.com,(373) 874-2389,4749 First Ave,Nashville,TN,Shirts,PO0000039,2024-06-27,2024-07-01,Shipped,915.5,Paid
SUP00045,QualityApparel Industries,Kevin Torres,kevin.torres@qualityappareli.com,(399) 935-7291,8199 Supply Chain Ave,San Francisco,CA,Outerwear,PO0000040,2024-05-16,2024-05-16,Cancelled,3331.64,Partial
SUP00117,TextilePlus Wholesale,Brian Walker,brian.walker@textilepluswhol.com,(429) 310-6736,9213 Warehouse Ln,Dallas,TX,"Activewear, Shirts, Shorts",PO0000041,2024-08-23,2024-09-03,Shipped,2428.49,Partial
SUP00070,TrendyTextiles Group,Robert Torres,robert.torres@trendytextilesg.com,(844) 902-1878,2585 Park Blvd,Boston,MA,Shirts,PO0000042,2024-04-07,2024-05-04,Delivered,3291.61,Partial
SUP00032,GarmentCo Wholesale,Deborah Lewis,deborah.lewis@garmentcowholes.com,(764) 922-8007,9289 Main St,Dallas,TX,Outerwear,PO0000043,2024-04-30,2024-05-14,Delivered,363.41,Pending
SUP00101,SwiftFashion International,Jason Green,jason.green@swiftfashionint.com,(580) 310-4830,7824 Main St,Oakland,CA,"Activewear, Shirts",PO0000044,2024-03-27,2024-04-20,Delivered,773.62,Pending
SUP00114,QualityApparel Manufacturing,Michael Lee,michael.lee@qualityapparelm.com,(637) 520-5176,6232 Park Blvd,Tucson,AZ,Hoodies,PO0000045,2024-05-26,2024-06-12,Delivered,258.36,Paid
SUP00079,ThreadLine Apparel,David Perez,david.perez@threadlineappar.com,(621) 910-9117,4822 Supply Chain Ave,Oakland,CA,Hoodies,PO0000046,2023-12-09,2023-12-22,Delivered,880.18,Paid
SUP00147,EliteClothing Manufacturing,Joshua King,joshua.king@eliteclothingma.com,(633) 313-5720,3993 Trade Center Blvd,Dallas,TX,Shorts,PO0000047,2024-10-15,2024-10-15,Cancelled,1521.65,Pending
SUP00121,StyleCraft Imports,Jennifer Moore,jennifer.moore@stylecraftimpor.com,(653) 877-7947,8057 Fourth St,Milwaukee,WI,"Dresses, Shirts",PO0000048,2024-04-23,2024-05-11,Delivered,878.89,Paid
SUP00080,PremiumFabrics LLC,Christopher Davis,christopher.davis@premiumfabricsl.com,(991) 613-9431,118 Second St,Albuquerque,NM,"Dresses, Shirts",PO0000049,2024-07-15,2024-07-24,Delivered,1270.86,Pending
SUP00086,RetailFabrics Solutions,Matthew Robinson,matthew.robinson@retailfabricsso.com,(529) 393-4912,9468 Supply Chain Ave,Charlotte,NC,"Jeans, Shorts, Sweaters",PO0000050,2024-01-17,2024-02-06,Pending,783.66,Partial
SUP00047,GarmentHub Apparel,Linda Robinson,linda.robinson@garmenthubappar.com,(336) 675-9702,9257 Fourth St,El Paso,TX,"Activewear, Dresses, Shorts, Skirts",PO0000051,2024-05-21,2024-06-10,Shipped,376.43,Paid
SUP00123,StyleCraft Distributors,Susan Martin,susan.martin@stylecraftdistr.com,(416) 985-3248,4286 Trade Center Blvd,El Paso,TX,Skirts,PO0000052,2024-07-31,2024-08-16,Shipped,3194.95,Partial
SUP00063,WholesaleWear Textiles,Thomas Perez,thomas.perez@wholesalewearte.com,(486) 810-5526,9206 Main St,Atlanta,GA,"Hoodies, Shirts, Shorts, Skirts",PO0000053,2024-10-11,2024-10-15,Delivered,230.93,Paid
SUP00107,TextilePlus Partners,Susan Evans,susan.evans@textilepluspart.com,(438) 536-3417,9864 Main St,Seattle,WA,"Dresses, Outerwear, T-Shirts",PO0000054,2024-10-19,2024-10-20,Shipped,2398.9,Pending
SUP00145,TrendyTextiles Supply Co.,Lisa Anderson,lisa.anderson@trendytextiless.com,(228) 526-2623,5593 Park Blvd,San Diego,CA,Skirts,PO0000055,2024-08-24,2024-09-12,Pending,725.39,Pending
SUP00078,VogueSupply Group,Sarah Lopez,sarah.lopez@voguesupplygrou.com,(799) 646-9056,1594 Broadway,Detroit,MI,"Accessories, Sweaters",PO0000056,2024-09-14,2024-09-27,Delivered,483.67,Paid
SUP00142,ModaSupply Textiles,Charles Roberts,charles.roberts@modasupplytexti.com,(591) 714-9641,6959 Washington St,Fort Worth,TX,"Jackets, Jeans, T-Shirts",PO0000057,2023-12-28,2024-01-14,Delivered,2203.32,Paid
SUP00026,ProStyle Supply Co.,Anthony Nelson,anthony.nelson@prostylesupplyc.com,(797) 778-9565,5283 Business Park Rd,Columbus,OH,"Shirts, Sweaters",PO0000058,2024-07-15,2024-08-04,Delivered,1421.16,Paid
SUP00009,TextilePlus Industries,Andrew Rivera,andrew.rivera@textileplusindu.com,(522) 417-9179,6582 Market St,San Jose,CA,Shirts,PO0000059,2024-01-11,2024-01-28,Shipped,2204.49,Pending
SUP00077,GarmentCo Distributors,Jennifer Anderson,jennifer.anderson@garmentcodistri.com,(890) 789-1339,4515 Third Ave,Houston,TX,"Dresses, Skirts, T-Shirts",PO0000060,2024-04-10,2024-04-16,Delivered,1969.76,Paid
SUP00105,ModaSupply Group,Jessica Diaz,jessica.diaz@modasupplygroup.com,(571) 301-7018,9020 Warehouse Ln,Chicago,IL,"Hoodies, Shirts",PO0000061,2024-10-15,2024-10-24,Shipped,974.85,Paid
SUP00089,FabricWorks Group,Timothy Taylor,timothy.taylor@fabricworksgrou.com,(546) 838-7512,1415 Distribution Dr,Miami,FL,"Accessories, Sweaters",PO0000062,2024-02-25,2024-03-06,Delivered,648.53,Paid
SUP00076,UrbanWear International,Sarah Allen,sarah.allen@urbanwearintern.com,(752) 705-8172,1417 Fourth St,Houston,TX,"Activewear, Outerwear, Sweaters",PO0000063,2024-07-04,2024-07-16,Delivered,427.61,Paid
SUP00038,GarmentCo Distributors,Michael Hill,michael.hill@garmentcodistri.com,(644) 553-6139,7249 Fourth St,Sacramento,CA,Activewear,PO0000064,2024-08-21,2024-08-21,Cancelled,1595.32,Partial
SUP00146,UrbanWear Apparel,William Carter,william.carter@urbanwearappare.com,(922) 680-8349,186 Maple Dr,New York,NY,T-Shirts,PO0000065,2024-01-15,2024-01-31,Shipped,510.38,Paid
SUP00033,StyleSource Wholesale,Paul Williams,paul.williams@stylesourcewhol.com,(578) 796-3426,7141 Park Blvd,Houston,TX,"Jeans, Sweaters",PO0000066,2024-07-04,2024-07-11,Delivered,5000.0,Partial
SUP00101,SwiftFashion International,Jason Green,jason.green@swiftfashionint.com,(580) 310-4830,7824 Main St,Oakland,CA,"Activewear, Shirts",PO0000067,2024-01-11,2024-01-15,Delivered,1308.33,Paid
SUP00103,ClothingDirect Group,Linda Miller,linda.miller@clothingdirectg.com,(440) 750-3222,6467 Market St,Portland,OR,"Dresses, Outerwear",PO0000068,2024-07-30,2024-08-07,Pending,827.43,Pending
SUP00109,GarmentCo Distributors,William Mitchell,william.mitchell@garmentcodistri.com,(631) 738-2862,1141 Broadway,Milwaukee,WI,"Activewear, Dresses, Hoodies",PO0000069,2023-12-23,2023-12-23,Cancelled,919.12,Pending
SUP00103,ClothingDirect Group,Linda Miller,linda.miller@clothingdirectg.com,(440) 750-3222,6467 Market St,Portland,OR,"Dresses, Outerwear",PO0000070,2024-07-02,2024-07-18,Delivered,377.61,Paid
SUP00040,ProStyle Trading,Brian Diaz,brian.diaz@prostyletrading.com,(327) 937-5920,8408 Trade Center Blvd,Louisville,KY,"Jackets, Outerwear",PO0000071,2023-12-02,2023-12-05,Shipped,2454.91,Pending
SUP00127,TrendyTextiles Solutions,Jennifer Sanchez,jennifer.sanchez@trendytextiless.com,(517) 963-6562,3730 Distribution Dr,Austin,TX,Accessories,PO0000072,2023-11-21,2023-11-27,Delivered,1117.34,Partial
SUP00006,RetailFabrics LLC,Jennifer Diaz,jennifer.diaz@retailfabricsll.com,(438) 303-7227,4654 Market St,Portland,OR,Sweaters,PO0000073,2024-05-23,2024-06-08,Delivered,5000.0,Pending
SUP00046,UrbanTex Industries,Ronald Parker,ronald.parker@urbantexindustr.com,(988) 309-7965,3685 Washington St,Atlanta,GA,"Dresses, Shirts",PO0000074,2023-11-21,2023-11-22,Delivered,357.79,Partial
SUP00048,ApparelSource Industries,Emily Lewis,emily.lewis@apparelsourcein.com,(362) 961-8777,7473 Business Park Rd,San Francisco,CA,"Dresses, Jackets, Skirts",PO0000075,2024-06-21,2024-07-09,Delivered,497.5,Paid
SUP00074,UrbanWear Apparel,Sandra Jones,sandra.jones@urbanwearappare.com,(903) 439-5334,9763 Industrial Way,Baltimore,MD,Shirts,PO0000076,2024-03-20,2024-03-27,Shipped,974.81,Pending
SUP00096,TrendyTextiles LLC,James Torres,james.torres@trendytextilesl.com,(902) 996-1803,8238 Trade Center Blvd,Charlotte,NC,"Shirts, Sweaters",PO0000077,2024-02-05,2024-02-06,Delivered,517.16,Paid
SUP00109,GarmentCo Distributors,William Mitchell,william.mitchell@garmentcodistri.com,(631) 738-2862,1141 Broadway,Milwaukee,WI,"Activewear, Dresses, Hoodies",PO0000078,2024-01-30,2024-02-19,Delivered,258.1,Pending
SUP00077,GarmentCo Distributors,Jennifer Anderson,jennifer.anderson@garmentcodistri.com,(890) 789-1339,4515 Third Ave,Houston,TX,"Dresses, Skirts, T-Shirts",PO0000079,2023-12-16,2023-12-29,Shipped,1805.91,Paid
SUP00057,GlobalGarments Imports,Linda Torres,linda.torres@globalgarmentsi.com,(423) 676-5198,6143 Washington St,Dallas,TX,"Hoodies, Jackets, T-Shirts",PO0000080,2024-03-08,2024-03-09,Shipped,4648.66,Pending
SUP00143,VogueSupply Group,Laura White,laura.white@voguesupplygrou.com,(767) 305-9452,2142 Trade Center Blvd,Philadelphia,PA,"Dresses, Jackets, Skirts",PO0000081,2024-04-04,2024-04-23,Pending,921.99,Pending
SUP00099,GarmentHub LLC,Sharon Hernandez,sharon.hernandez@garmenthubllc.com,(463) 693-5835,5649 Cedar Ln,Albuquerque,NM,"Dresses, Shirts, Shorts, T-Shirts",PO0000082,2023-12-03,2023-12-07,Shipped,867.65,Pending
SUP00134,FashionHub Manufacturing,Mark Lewis,mark.lewis@fashionhubmanuf.com,(736) 735-3600,6062 Warehouse Ln,Denver,CO,"Accessories, Sweaters",PO0000083,2024-10-27,2024-11-06,Delivered,1345.85,Partial
SUP00053,GlobalGarments Distributors,Matthew Perez,matthew.perez@globalgarmentsd.com,(884) 895-7624,2804 Market St,San Diego,CA,"Accessories, Dresses, Jeans, Shorts",PO0000084,2024-02-23,2024-03-02,Delivered,447.91,Paid
SUP00149,UrbanWear Wholesale,Charles Ramirez,charles.ramirez@urbanwearwholes.com,(201) 829-6780,4041 Third Ave,Louisville,KY,Accessories,PO0000085,2024-05-11,2024-05-25,Delivered,950.56,Paid
SUP00120,TextilePlus International,Anthony Robinson,anthony.robinson@textileplusinte.com,(549) 361-7062,5205 Distribution Dr,Philadelphia,PA,"Activewear, Outerwear, T-Shirts",PO0000086,2024-02-21,2024-02-29,Delivered,2002.82,Paid
SUP00076,UrbanWear International,Sarah Allen,sarah.allen@urbanwearintern.com,(752) 705-8172,1417 Fourth St,Houston,TX,"Activewear, Outerwear, Sweaters",PO0000087,2024-07-29,2024-08-24,Pending,590.27,Partial
SUP00136,ChicTextiles Apparel,Brian Hill,brian.hill@chictextilesapp.com,(353) 541-2335,9647 Park Blvd,Detroit,MI,"Accessories, Outerwear",PO0000088,2024-02-13,2024-03-03,Shipped,916.96,Partial
SUP00071,ThreadLine Solutions,Ronald Clark,ronald.clark@threadlinesolut.com,(820) 810-4697,8661 Supply Chain Ave,Milwaukee,WI,"Activewear, Jackets, Outerwear, Shorts",PO0000089,2024-10-15,2024-10-22,Delivered,1478.71,Pending
SUP00066,PremiumFabrics Trading,George Robinson,george.robinson@premiumfabricst.com,(477) 513-5118,3877 Cedar Ln,Fort Worth,TX,"Dresses, Outerwear",PO0000090,2023-11-30,2023-12-15,Delivered,888.86,Paid
SUP00088,TextileTrade Supply Co.,Laura Diaz,laura.diaz@textiletradesup.com,(650) 302-9617,7586 Main St,San Jose,CA,"Accessories, T-Shirts",PO0000091,2024-10-11,2024-10-21,Shipped,549.2,Partial
SUP00116,QualityApparel Trading,Laura Nelson,laura.nelson@qualityapparelt.com,(968) 633-1842,4812 Fourth St,Boston,MA,"Activewear, Dresses",PO0000092,2024-08-24,2024-09-06,Delivered,1908.78,Paid
SUP00007,TextilePlus Imports,Sarah Hall,sarah.hall@textileplusimpo.com,(899) 863-2169,2903 Second St,San Francisco,CA,Shorts,PO0000093,2023-12-07,2024-01-03,Shipped,427.68,Paid
SUP00094,DenimSource Supply Co.,Mark Thompson,mark.thompson@denimsourcesupp.com,(801) 506-7951,4197 Market St,Boston,MA,Shorts,PO0000094,2024-09-27,2024-10-11,Delivered,3827.18,Paid
SUP00135,ProStyle Distributors,Timothy Green,timothy.green@prostyledistrib.com,(862) 542-2079,5501 Cedar Ln,Oakland,CA,"Jackets, Outerwear",PO0000095,2024-05-13,2024-06-10,Delivered,556.06,Paid
SUP00123,StyleCraft Distributors,Susan Martin,susan.martin@stylecraftdistr.com,(416) 985-3248,4286 Trade Center Blvd,El Paso,TX,Skirts,PO0000096,2024-01-01,2024-01-07,Shipped,384.93,Paid
SUP00146,UrbanWear Apparel,William Carter,william.carter@urbanwearappare.com,(922) 680-8349,186 Maple Dr,New York,NY,T-Shirts,PO0000097,2023-11-03,2023-11-04,Delivered,2988.26,Paid
SUP00072,SwiftFashion Partners,Patricia Flores,patricia.flores@swiftfashionpar.com,(957) 301-4404,3557 Business Park Rd,Philadelphia,PA,T-Shirts,PO0000098,2024-05-14,2024-05-22,Shipped,1020.25,Paid
SUP00140,TrendyTextiles Wholesale,David Lopez,david.lopez@trendytextilesw.com,(909) 989-3712,7270 Oak Ave,Louisville,KY,"Outerwear, Shirts",PO0000099,2023-12-29,2023-12-31,Delivered,317.09,Paid
SUP00129,DenimSource Partners,Barbara Carter,barbara.carter@denimsourcepart.com,(977) 871-2234,3002 Broadway,Albuquerque,NM,"Activewear, Outerwear, Skirts",PO0000100,2023-11-10,2023-11-18,Pending,3656.12,Paid
SUP00095,TextileTrade Group,Michael Thomas,michael.thomas@textiletradegro.com,(590) 785-6881,9517 Trade Center Blvd,Denver,CO,Accessories,PO0000101,2024-10-27,2024-10-29,Pending,2375.39,Pending
SUP00079,ThreadLine Apparel,David Perez,david.perez@threadlineappar.com,(621) 910-9117,4822 Supply Chain Ave,Oakland,CA,Hoodies,PO0000102,2023-11-30,2023-12-05,Shipped,1624.6,Partial
SUP00111,TextileTrade International,Margaret Baker,margaret.baker@textiletradeint.com,(310) 702-8267,1304 Maple Dr,El Paso,TX,"Hoodies, T-Shirts",PO0000103,2024-04-13,2024-05-02,Delivered,676.02,Paid
SUP00050,ApparelPro Wholesale,Joseph Harris,joseph.harris@apparelprowhole.com,(910) 356-4505,1152 Logistics Pkwy,Louisville,KY,"Shorts, Skirts",PO0000104,2024-01-14,2024-01-31,Shipped,1814.65,Paid
SUP00143,VogueSupply Group,Laura White,laura.white@voguesupplygrou.com,(767) 305-9452,2142 Trade Center Blvd,Philadelphia,PA,"Dresses, Jackets, Skirts",PO0000105,2024-01-30,2024-02-13,Pending,587.38,Pending
SUP00105,ModaSupply Group,Jessica Diaz,jessica.diaz@modasupplygroup.com,(571) 301-7018,9020 Warehouse Ln,Chicago,IL,"Hoodies, Shirts",PO0000106,2024-05-15,2024-06-01,Delivered,1204.73,Paid
SUP00057,GlobalGarments Imports,Linda Torres,linda.torres@globalgarmentsi.com,(423) 676-5198,6143 Washington St,Dallas,TX,"Hoodies, Jackets, T-Shirts",PO0000107,2024-08-03,2024-08-19,Shipped,1401.58,Partial
SUP00020,ClassicThreads International,Daniel Ramirez,daniel.ramirez@classicthreadsi.com,(620) 678-1887,1712 Oak Ave,Memphis,TN,"Accessories, Hoodies, Shirts",PO0000108,2024-06-26,2024-06-26,Cancelled,1083.6,Pending
SUP00015,StyleSource Apparel,Rebecca Martin,rebecca.martin@stylesourceappa.com,(445) 259-4946,9395 Maple Dr,Philadelphia,PA,"Dresses, Hoodies, T-Shirts",PO0000109,2024-03-05,2024-03-14,Delivered,531.96,Partial
SUP00128,ThreadLine Solutions,Steven Gonzalez,steven.gonzalez@threadlinesolut.com,(994) 557-6752,2519 Commerce Dr,San Antonio,TX,Shirts,PO0000110,2023-12-19,2024-01-06,Shipped,2064.19,Paid
SUP00105,ModaSupply Group,Jessica Diaz,jessica.diaz@modasupplygroup.com,(571) 301-7018,9020 Warehouse Ln,Chicago,IL,"Hoodies, Shirts",PO0000111,2024-09-05,2024-09-07,Shipped,3128.02,Pending
SUP00110,ModaSupply Solutions,Joseph Flores,joseph.flores@modasupplysolut.com,(244) 944-9543,5041 Market St,New York,NY,Skirts,PO0000112,2024-08-14,2024-08-21,Delivered,2190.02,Paid
SUP00144,ApparelPro Apparel,Margaret Garcia,margaret.garcia@apparelproappar.com,(427) 661-6727,536 Logistics Pkwy,Chicago,IL,"Shirts, Sweaters",PO0000113,2023-11-09,2023-11-09,Cancelled,328.91,Pending
SUP00149,UrbanWear Wholesale,Charles Ramirez,charles.ramirez@urbanwearwholes.com,(201) 829-6780,4041 Third Ave,Louisville,KY,Accessories,PO0000114,2024-07-04,2024-07-12,Delivered,1512.06,Paid
SUP00033,StyleSource Wholesale,Paul Williams,paul.williams@stylesourcewhol.com,(578) 796-3426,7141 Park Blvd,Houston,TX,"Jeans, Sweaters",PO0000115,2024-04-14,2024-04-24,Delivered,851.7,Paid
SUP00038,GarmentCo Distributors,Michael Hill,michael.hill@garmentcodistri.com,(644) 553-6139,7249 Fourth St,Sacramento,CA,Activewear,PO0000116,2024-07-21,2024-08-06,Delivered,185.68,Paid
SUP00117,TextilePlus Wholesale,Brian Walker,brian.walker@textilepluswhol.com,(429) 310-6736,9213 Warehouse Ln,Dallas,TX,"Activewear, Shirts, Shorts",PO0000117,2024-04-13,2024-04-20,Delivered,349.53,Paid
SUP00026,ProStyle Supply Co.,Anthony Nelson,anthony.nelson@prostylesupplyc.com,(797) 778-9565,5283 Business Park Rd,Columbus,OH,"Shirts, Sweaters",PO0000118,2024-01-15,2024-01-16,Delivered,2121.2,Paid
SUP00063,WholesaleWear Textiles,Thomas Perez,thomas.perez@wholesalewearte.com,(486) 810-5526,9206 Main St,Atlanta,GA,"Hoodies, Shirts, Shorts, Skirts",PO0000119,2024-01-19,2024-01-26,Shipped,429.58,Partial
SUP00070,TrendyTextiles Group,Robert Torres,robert.torres@trendytextilesg.com,(844) 902-1878,2585 Park Blvd,Boston,MA,Shirts,PO0000120,2024-10-02,2024-10-13,Delivered,990.7,Partial
SUP00089,FabricWorks Group,Timothy Taylor,timothy.taylor@fabricworksgrou.com,(546) 838-7512,1415 Distribution Dr,Miami,FL,"Accessories, Sweaters",PO0000121,2024-07-10,2024-07-25,Delivered,1052.19,Paid
