product_id,name,category,sub_category,color,size,cost_price,selling_price,stock_quantity,reorder_threshold,supplier_id,last_restock_date,location,barcode
CLO-10025,Gray Slim Jeans,Bottomwear,Jeans,Gray,L,26.0,52.0,210,14,SUP-001,2025-06-18,SF Downtown Store,3462475107991
CLO-10026,Blue Tank Top,Tops,Tank Top,Blue,XS,6.0,12.0,150,8,SUP-009,2025-10-12,Palo Alto Outlet,1838425135427
CLO-10027,Black Cap,Accessories,Cap,Black,XXL,4.5,9.0,85,6,SUP-014,2025-08-28,Online Warehouse,8498084124118
CLO-10028,Beige Blazer,Jackets,Blazer,Beige,M,38.0,78.0,40,10,SUP-006,2025-09-30,SF Downtown Store,2449353487401
CLO-10029,Navy Cardigan,Jackets,Cardigan,Navy,S,24.0,48.0,28,8,SUP-011,2025-05-26,Palo Alto Outlet,6400524278680
CLO-10030,Green Classic Belt,Accessories,Belt,Green,L,9.0,18.0,95,7,SUP-002,2025-07-13,Online Warehouse,1128059826204
CLO-10031,Blue Denim Shorts,Bottomwear,Shorts,Blue,S,18.0,36.0,140,12,SUP-004,2025-08-19,SF Downtown Store,5053315869232
CLO-10032,White Shirt,Tops,Shirt,White,M,14.0,28.0,200,10,SUP-010,2025-10-08,Palo Alto Outlet,2602563421607
CLO-10033,Purple Bomber Coat,Jackets,Coat,Purple,XL,45.0,90.0,22,6,SUP-008,2025-06-02,SF Downtown Store,3375433036541
CLO-10034,Brown Leather Belt,Accessories,Belt,Brown,M,7.5,15.0,110,5,SUP-015,2025-09-01,Online Warehouse,4586850142940
CLO-10035,Pink Cropped Hoodie,Tops,Hoodie,Pink,XS,20.0,40.0,70,9,SUP-013,2025-08-11,Palo Alto Outlet,1965569816934
CLO-10036,Black Jeans Skirt,Bottomwear,Skirt,Black,S,16.0,32.0,90,7,SUP-016,2025-07-29,SF Downtown Store,0608835615951
CLO-10037,Gray Wool Coat,Jackets,Coat,Gray,L,52.0,104.0,18,5,SUP-017,2025-05-25,SF Downtown Store,4846564823662
CLO-10038,Beige Scarf,Accessories,Scarf,Beige,M,5.0,12.0,60,5,SUP-018,2025-08-05,Online Warehouse,9946804436995
CLO-10039,Navy Hoodie,Tops,Hoodie,Navy,XL,25.0,50.0,180,12,SUP-019,2025-09-20,Palo Alto Outlet,7773872148951
CLO-10040,Green Tank Top,Tops,Tank Top,Green,S,6.5,13.0,115,7,SUP-020,2025-07-04,Online Warehouse,3433200379176
CLO-10041,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.5,62.0,320,12,SUP-005,2025-09-14,SF Downtown Store,9367632016328
CLO-10042,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,44.0,140,15,SUP-009,2025-08-22,Palo Alto Outlet,7083172788957
CLO-10043,White Cotton T-Shirt,Tops,T-Shirt,White,S,6.5,14.0,260,10,SUP-003,2025-10-02,Online Warehouse,9868727743487
CLO-10044,Gray V-Neck T-Shirt,Tops,T-Shirt,Gray,M,5.5,11.0,210,12,SUP-012,2025-07-18,SF Downtown Store,3471434558122
CLO-10045,Red Silk Blouse,Tops,Blouse,Red,XS,18.0,38.0,95,8,SUP-017,2025-06-30,Palo Alto Outlet,3623166587603
CLO-10046,Beige Cardigan,Jackets,Cardigan,Beige,XL,25.0,52.0,72,10,SUP-002,2025-05-12,Online Warehouse,6690967054668
CLO-10047,Navy Blazer,Jackets,Blazer,Navy,L,40.0,90.0,56,9,SUP-008,2025-09-28,SF Downtown Store,8937346706562
CLO-10048,Black Belt,Accessories,Belt,Black,M,9.0,18.0,40,6,SUP-015,2025-06-21,Palo Alto Outlet,7298069901627
CLO-10049,Beige Scarf,Accessories,Scarf,Beige,XL,7.0,15.0,22,5,SUP-013,2025-08-07,Online Warehouse,2046537556464
CLO-10050,White Cap,Accessories,Cap,White,XS,6.0,14.0,18,5,SUP-004,2025-07-04,SF Downtown Store,1708053100330
CLO-10051,Blue Tank Top,Tops,Tank Top,Blue,S,4.5,9.0,180,10,SUP-011,2025-10-01,Palo Alto Outlet,9232719374529
CLO-10052,Green Cotton Shirt,Tops,Shirt,Green,M,12.0,24.0,150,12,SUP-006,2025-09-09,Online Warehouse,9124190496631
CLO-10053,Brown Chino Pants,Bottomwear,Pants,Brown,L,26.0,54.0,130,11,SUP-018,2025-08-14,SF Downtown Store,9314919058651
CLO-10054,Black Denim Shorts,Bottomwear,Shorts,Black,M,14.0,28.0,90,9,SUP-010,2025-07-03,Palo Alto Outlet,8506716572628
CLO-10055,Gray Hoodie,Jackets,Hoodie,Gray,XL,20.0,40.0,60,8,SUP-019,2025-09-19,Online Warehouse,4987769453147
CLO-10056,Purple Blazer,Jackets,Blazer,Purple,XS,35.0,70.0,28,7,SUP-007,2025-05-26,SF Downtown Store,3799650752735
CLO-10057,Navy Cap,Accessories,Cap,Navy,S,5.0,12.0,50,6,SUP-014,2025-10-11,Online Warehouse,4549480831367
CLO-10058,Beige Belt,Accessories,Belt,Beige,L,8.0,16.0,55,7,SUP-003,2025-08-27,SF Downtown Store,8377701436349
CLO-10059,Blue Denim Jacket,Jackets,Coat,Blue,M,45.0,95.0,25,8,SUP-020,2025-09-05,Palo Alto Outlet,5788568557444
CLO-10060,Red Tank Top,Tops,Tank Top,Red,XS,3.5,9.0,160,9,SUP-001,2025-10-03,Online Warehouse,3135182337498
CLO-10061,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,38.0,74.5,320,20,SUP-003,2025-09-12,SF Downtown Store,9413435240824
CLO-10062,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,44.0,180,12,SUP-007,2025-07-28,Palo Alto Outlet,0084271094777
CLO-10063,White V-Neck T-Shirt,Tops,T-Shirt,White,S,6.0,12.0,260,15,SUP-012,2025-10-02,Online Warehouse,5204711671902
CLO-10064,Red Flannel Shirt,Tops,Shirt,Red,M,14.0,28.0,140,10,SUP-005,2025-08-14,SF Downtown Store,2941318699938
CLO-10065,Gray Wool Blazer,Jackets,Blazer,Gray,XL,60.0,120.0,60,10,SUP-009,2025-06-30,Palo Alto Outlet,6774964990913
CLO-10066,Beige Cardigan,Jackets,Cardigan,Beige,S,28.0,56.0,50,8,SUP-004,2025-05-21,Online Warehouse,3412328120679
CLO-10067,Blue Cap,Accessories,Cap,Blue,XS,9.0,18.0,90,6,SUP-014,2025-09-03,SF Downtown Store,7403447134936
CLO-10068,Black Leather Belt,Accessories,Belt,Black,M,12.0,24.0,75,5,SUP-002,2025-07-18,Palo Alto Outlet,1832421024994
CLO-10069,Navy Jeans Shorts,Bottomwear,Shorts,Navy,L,14.0,29.0,210,12,SUP-010,2025-08-27,Online Warehouse,7174648877190
CLO-10070,Blue Tank Top,Tops,Tank Top,Blue,XS,7.0,14.0,180,12,SUP-001,2025-09-20,SF Downtown Store,6594013990490
CLO-10071,Purple Blouse,Tops,Blouse,Purple,M,16.0,32.0,110,9,SUP-006,2025-10-04,Palo Alto Outlet,2787429671756
CLO-10072,Gray Sweatshirt,Tops,Hoodie,Gray,XL,20.0,40.0,70,8,SUP-008,2025-06-15,Online Warehouse,5512567468071
CLO-10073,Black Slim Jeans,Bottomwear,Jeans,Black,S,36.0,72.0,260,14,SUP-011,2025-07-05,SF Downtown Store,5451680876038
CLO-10074,Beige Linen Pants,Bottomwear,Pants,Beige,M,28.0,56.0,120,9,SUP-013,2025-08-10,Palo Alto Outlet,5977034824771
CLO-10075,Red Knit Hoodie,Jackets,Hoodie,Red,M,25.0,50.0,90,8,SUP-015,2025-07-22,Online Warehouse,0932480861317
CLO-10076,White Cap,Accessories,Cap,White,XS,8.0,16.0,85,7,SUP-016,2025-09-11,SF Downtown Store,1274846773782
CLO-10077,Brown Leather Belt,Accessories,Belt,Brown,L,11.0,22.0,65,6,SUP-017,2025-08-02,Palo Alto Outlet,6398214658404
CLO-10078,Navy Cardigan,Jackets,Cardigan,Navy,M,26.0,52.0,55,9,SUP-018,2025-05-28,Online Warehouse,4997278755886
CLO-10079,White Blouse,Tops,Blouse,White,XL,18.0,36.0,130,11,SUP-019,2025-10-09,SF Downtown Store,7533963605766
CLO-10080,Black Denim Jacket,Jackets,Coat,Black,L,45.0,90.0,40,8,SUP-020,2025-04-17,Online Warehouse,2702895171870
CLO-10081,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.5,54.0,320,15,SUP-012,2025-08-12,SF Downtown Store,2621745961586
CLO-10082,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,49.0,120,12,SUP-018,2025-09-05,Palo Alto Outlet,5780913431611
CLO-10083,White V-Neck T-Shirt,Tops,T-Shirt,White,S,7.5,15.0,210,8,SUP-003,2025-07-22,Online Warehouse,7240050455623
CLO-10084,Gray Pullover Blouse,Tops,Blouse,Gray,M,14.0,28.0,95,10,SUP-009,2025-10-01,SF Downtown Store,8692221969379
CLO-10085,Red Jersey Cap,Accessories,Cap,Red,XS,6.0,12.0,60,6,SUP-007,2025-06-18,Online Warehouse,2374740748217
CLO-10086,Blue Linen Shorts,Bottomwear,Shorts,Blue,S,9.5,19.0,150,10,SUP-015,2025-08-29,Palo Alto Outlet,5946474367136
CLO-10087,Brown Leather Belt,Accessories,Belt,Brown,M,8.0,18.0,40,6,SUP-005,2025-09-20,SF Downtown Store,9594406409097
CLO-10088,Black Cardigan,Jackets,Cardigan,Black,M,26.0,52.0,50,8,SUP-014,2025-05-14,Palo Alto Outlet,4395339421047
CLO-10089,Navy Paddock Shirt,Tops,Shirt,Navy,XL,16.0,32.0,180,12,SUP-002,2025-07-08,Online Warehouse,0952145623285
CLO-10090,Green Tank Top,Tops,Tank Top,Green,XS,5.5,11.0,40,5,SUP-011,2025-10-10,SF Downtown Store,8842474517123
CLO-10091,Purple Blazer,Jackets,Blazer,Purple,L,40.0,90.0,25,5,SUP-019,2025-08-03,Palo Alto Outlet,6851604817549
CLO-10092,Beige Cardigan,Jackets,Cardigan,Beige,S,22.0,44.0,68,9,SUP-006,2025-09-28,Online Warehouse,6513709859317
CLO-10093,Gray Sweatshirt,Tops,T-Shirt,Gray,M,9.0,18.0,130,7,SUP-004,2025-08-16,SF Downtown Store,4612004711382
CLO-10094,Black Jeans,Bottomwear,Jeans,Black,L,25.0,49.0,310,14,SUP-010,2025-10-02,Palo Alto Outlet,6758692617964
CLO-10095,White Blouse,Tops,Blouse,White,XS,12.0,24.0,70,9,SUP-008,2025-07-31,Online Warehouse,0537735158506
CLO-10096,Navy Blazer,Jackets,Blazer,Navy,XL,38.0,72.0,28,7,SUP-013,2025-06-25,SF Downtown Store,4317139005329
CLO-10097,Beige Scarf,Accessories,Scarf,Beige,M,4.5,9.0,18,5,SUP-017,2025-09-14,Online Warehouse,3183933529042
CLO-10098,Red Belt,Accessories,Belt,Red,L,7.5,15.0,55,6,SUP-001,2025-08-01,SF Downtown Store,2842102053950
CLO-10099,Blue Cap,Accessories,Cap,Blue,M,6.0,12.0,75,7,SUP-018,2025-10-15,Online Warehouse,2402681177589
CLO-10100,Gray Hoodie,Jackets,Hoodie,Gray,XL,20.0,40.0,45,8,SUP-016,2025-09-07,Palo Alto Outlet,1783908470076
CLO-10101,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.0,62.0,320,20,SUP-013,2025-09-22,SF Downtown Store,6177115921249
CLO-10102,White Cotton T-Shirt,Tops,T-Shirt,White,L,8.0,18.0,280,15,SUP-007,2025-09-05,Palo Alto Outlet,9856984789611
CLO-10103,Black V-Neck T-Shirt,Tops,T-Shirt,Black,S,6.5,15.0,150,12,SUP-005,2025-08-28,Online Warehouse,8367365766156
CLO-10104,Red Hoodie,Jackets,Hoodie,Red,XL,22.0,54.0,110,15,SUP-012,2025-10-02,SF Downtown Store,5452711116152
CLO-10105,Gray Blazer,Jackets,Blazer,Gray,M,40.0,100.0,40,8,SUP-004,2025-09-18,Palo Alto Outlet,8098851656049
CLO-10106,Beige Cardigan,Jackets,Cardigan,Beige,S,18.0,40.0,60,10,SUP-019,2025-08-30,Online Warehouse,4519832731585
CLO-10107,Black Leather Belt,Accessories,Belt,Black,M,12.0,28.0,75,12,SUP-003,2025-09-12,SF Downtown Store,1493689980940
CLO-10108,Navy Cap,Accessories,Cap,Navy,S,9.0,20.0,95,15,SUP-009,2025-10-10,Palo Alto Outlet,2445502296120
CLO-10109,Blue Tank Top,Tops,Tank Top,Blue,XS,5.0,14.0,210,10,SUP-018,2025-09-01,Online Warehouse,1836675254599
CLO-10110,Green Blouse,Tops,Blouse,Green,M,16.0,36.0,120,12,SUP-006,2025-07-20,SF Downtown Store,1022901476797
CLO-10111,Gray Jeans,Bottomwear,Jeans,Gray,L,26.0,58.0,300,18,SUP-011,2025-09-25,Palo Alto Outlet,6438156149784
CLO-10112,Black Shorts,Bottomwear,Shorts,Black,M,14.0,30.0,180,14,SUP-002,2025-10-03,Online Warehouse,0369003432445
CLO-10113,Purple Coat,Jackets,Coat,Purple,L,48.0,110.0,25,6,SUP-014,2025-08-15,SF Downtown Store,1076226838851
CLO-10114,Brown Knit Hoodie,Tops,Hoodie,Brown,M,20.0,45.0,130,12,SUP-008,2025-09-04,Palo Alto Outlet,6060715969664
CLO-10115,White Blazer,Jackets,Blazer,White,XL,42.0,95.0,55,9,SUP-015,2025-09-29,Online Warehouse,1605297516136
CLO-10116,Beige Cap,Accessories,Cap,Beige,XS,7.0,16.0,50,8,SUP-001,2025-07-28,SF Downtown Store,9681645352181
CLO-10117,Blue Belt,Accessories,Belt,Blue,L,11.0,23.0,90,12,SUP-010,2025-09-19,Palo Alto Outlet,8835523124329
CLO-10118,Pink Blouse,Tops,Blouse,Pink,S,15.0,34.0,90,11,SUP-017,2025-08-11,Online Warehouse,2127799799552
CLO-10119,Navy Jeans,Bottomwear,Jeans,Navy,XS,22.0,48.0,100,12,SUP-016,2025-07-02,SF Downtown Store,7177449058147
CLO-10120,Black Cap,Accessories,Cap,Black,M,8.0,18.0,85,10,SUP-020,2025-10-12,Online Warehouse,7005411998679
CLO-10121,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.5,62.0,320,15,SUP-012,2025-09-14,SF Downtown Store,8079359782071
CLO-10122,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,55.0,150,12,SUP-004,2025-08-02,Palo Alto Outlet,5182037788925
CLO-10123,White V-Neck T-Shirt,Tops,T-Shirt,White,S,6.5,14.0,420,18,SUP-007,2025-10-03,Online Warehouse,5466590515186
CLO-10124,Gray Pullover Blouse,Tops,Blouse,Gray,M,12.5,26.0,90,10,SUP-003,2025-07-29,SF Downtown Store,4492519254629
CLO-10125,Red Tank Top,Tops,Tank Top,Red,XS,5.0,12.0,210,8,SUP-015,2025-06-18,Online Warehouse,1486528168505
CLO-10126,Blue Denim Short,Bottomwear,Shorts,Blue,S,9.0,18.0,180,12,SUP-008,2025-05-20,SF Downtown Store,4235733221418
CLO-10127,Black Leather Belt,Accessories,Belt,Black,L,7.5,20.0,60,6,SUP-011,2025-08-27,Palo Alto Outlet,8805929622292
CLO-10128,Navy Hoodie Coat,Jackets,Coat,Navy,XL,40.0,95.0,40,6,SUP-019,2025-09-01,Online Warehouse,7065379473834
CLO-10129,Beige Cardigan,Jackets,Cardigan,Beige,M,24.0,54.0,70,8,SUP-005,2025-07-12,SF Downtown Store,7359774688623
CLO-10130,Green Cap,Accessories,Cap,Green,XS,4.0,12.0,90,9,SUP-014,2025-10-02,Palo Alto Outlet,9240758181412
CLO-10131,Purple Blouse,Tops,Blouse,Purple,XL,14.0,34.0,110,12,SUP-002,2025-08-16,SF Downtown Store,4782613750606
CLO-10132,White Cotton Shirt,Tops,Shirt,White,M,18.0,39.0,260,14,SUP-009,2025-07-02,Online Warehouse,8536153051522
CLO-10133,Black Jeans,Bottomwear,Jeans,Black,L,22.5,49.0,290,15,SUP-013,2025-09-29,SF Downtown Store,0472779010432
CLO-10134,Gray Sweatpants,Bottomwear,Pants,Gray,XL,16.0,32.0,120,10,SUP-006,2025-06-30,Palo Alto Outlet,8986143410369
CLO-10135,Red Knit Cardigan,Jackets,Cardigan,Red,M,20.0,45.0,50,7,SUP-017,2025-09-21,Online Warehouse,7117980893246
CLO-10136,Blue Beanie,Accessories,Hat,Blue,S,3.5,9.0,25,5,SUP-010,2025-08-11,SF Downtown Store,0953962185188
CLO-10137,Beige Tank Top,Tops,Tank Top,Beige,S,5.5,11.0,320,12,SUP-020,2025-07-07,Online Warehouse,8880670654051
CLO-10138,Pink Blouse,Tops,Blouse,Pink,XS,15.0,32.0,95,9,SUP-018,2025-10-12,SF Downtown Store,5319520585277
CLO-10139,Yellow Belt,Accessories,Belt,Yellow,M,6.0,14.0,75,7,SUP-011,2025-09-05,Palo Alto Outlet,2217043030548
CLO-10140,Navy Jeans,Bottomwear,Jeans,Navy,XL,24.0,52.0,140,11,SUP-012,2025-08-20,Online Warehouse,6874034505415
CLO-10141,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,28.5,59.0,320,15,SUP-003,2025-09-12,SF Downtown Store,6676527758416
CLO-10142,Black Cotton Hoodie,Jackets,Hoodie,Black,L,22.0,45.0,200,12,SUP-007,2025-08-28,Palo Alto Outlet,1692845115447
CLO-10143,White Linen Shirt,Tops,Shirt,White,S,18.0,36.0,140,10,SUP-005,2025-10-01,Online Warehouse,9627570596401
CLO-10144,Gray V-Neck T-Shirt,Tops,T-Shirt,Gray,M,7.5,15.0,380,15,SUP-012,2025-07-22,SF Downtown Store,6582029702135
CLO-10145,Red Cap Cap,Accessories,Cap,Red,XS,6.0,12.0,80,8,SUP-002,2025-09-04,Palo Alto Outlet,5690927557192
CLO-10146,Beige Cardigan,Jackets,Cardigan,Beige,S,24.0,48.0,60,10,SUP-009,2025-06-30,Online Warehouse,8565431027868
CLO-10147,Blue Belt,Accessories,Belt,Blue,M,9.0,18.0,45,6,SUP-004,2025-09-18,SF Downtown Store,1447394731217
CLO-10148,Black Leather Jacket,Jackets,Coat,Black,XL,45.0,90.0,25,8,SUP-011,2025-08-03,Palo Alto Outlet,2715518844225
CLO-10149,Navy Denim Shorts,Bottomwear,Shorts,Navy,S,14.0,28.0,110,9,SUP-006,2025-07-15,Online Warehouse,8313237058957
CLO-10150,Green Tank Top,Tops,Tank Top,Green,XS,5.5,11.0,260,10,SUP-008,2025-10-02,SF Downtown Store,8291146786691
CLO-10151,White Blouse,Tops,Blouse,White,XL,21.0,42.0,90,10,SUP-013,2025-09-10,Palo Alto Outlet,2517785289226
CLO-10152,Purple Cardigan,Jackets,Cardigan,Purple,M,19.0,38.0,70,8,SUP-014,2025-07-25,Online Warehouse,8018242253584
CLO-10153,Black Jeans,Bottomwear,Jeans,Black,L,26.0,52.0,180,12,SUP-010,2025-09-28,SF Downtown Store,1438424981829
CLO-10154,Gray Blazer,Jackets,Blazer,Gray,M,34.0,68.0,50,9,SUP-015,2025-08-12,Palo Alto Outlet,9229959001094
CLO-10155,Beige Trench Coat,Jackets,Coat,Beige,L,50.0,100.0,22,8,SUP-017,2025-05-29,Online Warehouse,3969078447364
CLO-10156,Pink Scarf,Accessories,Scarf,Pink,S,4.0,9.0,70,7,SUP-018,2025-10-15,SF Downtown Store,7102767735925
CLO-10157,Blue Polo Shirt,Tops,Shirt,Blue,M,13.5,27.0,120,10,SUP-019,2025-09-25,Palo Alto Outlet,5562588153714
CLO-10158,Gray Sweatpants,Bottomwear,Pants,Gray,L,16.0,32.0,150,12,SUP-020,2025-08-01,Online Warehouse,7321046963259
CLO-10159,Red Beanie,Accessories,Hat,Red,XS,3.5,7.0,40,5,SUP-001,2025-07-08,SF Downtown Store,5327877470168
CLO-10160,Blue Silk Blouse,Tops,Blouse,Blue,XL,24.0,48.0,70,9,SUP-003,2025-10-22,Online Warehouse,7339500479748
CLO-10161,Blue Denim Jeans,Bottomwear,Jeans,Blue,M,24.5,49.0,210,15,SUP-004,2025-09-12,SF Downtown Store,0162456506098
CLO-10162,Black Cotton Hoodie,Jackets,Hoodie,Black,L,18.0,36.0,120,12,SUP-007,2025-08-05,Palo Alto Outlet,3584168784991
CLO-10163,White Silk Blouse,Tops,Blouse,White,S,28.0,56.0,95,10,SUP-011,2025-07-22,SF Downtown Store,2165585239868
CLO-10164,Gray V-Neck T-Shirt,Tops,T-Shirt,Gray,M,6.5,14.5,320,12,SUP-003,2025-10-01,Online Warehouse,0002578729825
CLO-10165,Red Tank Top,Tops,Tank Top,Red,XS,4.0,9.0,180,8,SUP-002,2025-08-19,Palo Alto Outlet,9526949588879
CLO-10166,Blue Straight Jeans,Bottomwear,Jeans,Blue,L,22.0,44.0,150,14,SUP-005,2025-06-30,SF Downtown Store,4705516940974
CLO-10167,Beige Cardigan,Jackets,Cardigan,Beige,S,26.0,52.0,60,6,SUP-009,2025-05-18,Online Warehouse,9930972896230
CLO-10168,Black Leather Belt,Accessories,Belt,Black,M,10.0,24.0,40,8,SUP-001,2025-09-28,SF Downtown Store,9130756263689
CLO-10169,Navy Cap,Accessories,Cap,Navy,XS,5.0,15.0,70,6,SUP-014,2025-07-07,Palo Alto Outlet,7028385786527
CLO-10170,Brown Corduroy Blazer,Jackets,Blazer,Brown,XL,32.0,64.0,25,5,SUP-012,2025-09-02,Online Warehouse,8585497334843
CLO-10171,Green Pique Polo Shirt,Tops,Shirt,Green,M,14.0,28.0,180,12,SUP-006,2025-08-14,SF Downtown Store,4437575844198
CLO-10172,Pink Satin Blouse,Tops,Blouse,Pink,XS,25.0,50.0,75,9,SUP-013,2025-10-11,Palo Alto Outlet,6652404157473
CLO-10173,Blue Denim Shorts,Bottomwear,Shorts,Blue,S,15.0,30.0,110,11,SUP-010,2025-07-29,SF Downtown Store,3848421993308
CLO-10174,Black Cardigan Coat,Jackets,Coat,Black,XXL,38.0,76.0,18,5,SUP-015,2025-06-15,Online Warehouse,3301657120826
CLO-10175,White Cotton Tank,Tops,Tank Top,White,S,6.0,12.0,260,14,SUP-004,2025-05-28,SF Downtown Store,7734540193802
CLO-10176,Gray Pleated Skirt,Bottomwear,Skirt,Gray,M,18.0,36.0,90,9,SUP-008,2025-08-03,Palo Alto Outlet,6206724004991
CLO-10177,Red Knit Hoodie,Jackets,Hoodie,Red,XL,20.0,40.0,130,10,SUP-016,2025-09-19,SF Downtown Store,5478872874315
CLO-10178,Beige Silk Scarf,Accessories,Scarf,Beige,M,9.0,22.0,55,6,SUP-017,2025-08-26,Online Warehouse,2742054932966
CLO-10179,Blue Cotton Belt,Accessories,Belt,Blue,L,7.5,18.0,65,7,SUP-018,2025-07-16,SF Downtown Store,8516122753046
CLO-10180,Navy Denim Jacket,Jackets,Jacket,Navy,M,40.0,80.0,30,5,SUP-019,2025-10-03,Online Warehouse,3745499045301
CLO-10181,Blue T-Shirt,Tops,T-Shirt,Blue,M,6.5,14.0,320,12,SUP-003,2025-09-14,SF Downtown Store,7426841459332
CLO-10182,Black Hoodie,Jackets,Hoodie,Black,L,18.0,39.0,110,15,SUP-008,2025-08-28,Palo Alto Outlet,7279568783391
CLO-10183,White Blouse,Tops,Blouse,White,S,12.0,22.0,210,14,SUP-012,2025-07-22,SF Downtown Store,8785191088398
CLO-10184,Gray Jeans,Bottomwear,Jeans,Gray,M,20.0,44.0,260,16,SUP-005,2025-10-02,Online Warehouse,2258713971870
CLO-10185,Navy Cardigan,Jackets,Cardigan,Navy,M,25.0,60.0,60,12,SUP-019,2025-05-18,Palo Alto Outlet,7286790874064
CLO-10186,Beige Cap,Accessories,Cap,Beige,XS,4.0,12.0,85,10,SUP-007,2025-09-02,Online Warehouse,0391065180170
CLO-10187,Black Belt,Accessories,Belt,Black,L,6.5,15.0,95,8,SUP-014,2025-06-30,SF Downtown Store,4622656766182
CLO-10188,Red Tank Top,Tops,Tank Top,Red,XS,5.5,14.5,180,13,SUP-002,2025-10-10,Palo Alto Outlet,5128682300478
CLO-10189,Blue Shorts,Bottomwear,Shorts,Blue,S,9.0,18.0,140,9,SUP-011,2025-08-09,SF Downtown Store,6863375243106
CLO-10190,Purple Blazer,Jackets,Blazer,Purple,XL,28.0,72.0,40,10,SUP-018,2025-07-15,Online Warehouse,9033119079030
